moller_no,gardiner_no,unicode_cp,unicode_char,jsesh,mdc,hieroglyphica,ifao,wikidata_id,wikidata_label,wikidata_image,tsl_id,desc,match_type
156,F15,U+1310E,𓄎,F15,F15,F15,"155,2",,,,,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a sun-disk (N5), written within the horns of a bovid (F13).",matched
157,F16,U+1310F,𓄏,F16,db F16,F16,"155,14",Q117859926,Horn,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F16.png,,A horn of a bovid,matched
158,F21,U+13114,𓄔,F21,sDm F21,F21,,Q117859964,Ear of animal,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F21.png,,"The ear of a bovid (ox), without internal detail.",matched
159,F21,U+13114,𓄔,F21,sDm F21,F21,,Q117859964,Ear of animal,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F21.png,,"The ear of a bovid (ox), without internal detail.",matched
160,F18,U+13111,𓄑,F18,bH F18,F18,"156,10",Q117859938,Tusk,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F18.png,,A tusk of an elephant.,matched
161,F20,U+13113,𓄓,F20,ns F20,F20,"157,5",Q117859951,"Tongue,",http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F20.png,,A tongue.,matched
162,F25,U+13119,𓄙,F25,wHm F25,F25,"159,8",Q118093535,Leg of cow (whm hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F25.png,,The leg and hoof of a bovid (ox).,matched
163,F22,U+13116,𓄖,F22,pH F22,F22,"159,1",Q117859973,Hind parts of lion,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F22.png,,The hind-quarters of a seated lion or leopard.,matched
164,F23,U+13117,𓄗,F23,xpS F23,F23,"159,12",Q5468631,𓄗 leg of cow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F23.png,,"A foreleg of a bovid (ox), hoof orientated towards the reading direction.",matched
165,F26,U+1311A,𓄚,F26,Xn F26,F26,"161,1",Q117859988,Goat skin,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F26.png,,The skin of a goat.,matched
166,F27,U+1311B,𓄛,F27,F27,F27,"161,4",Q117860005,Cow skin,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F27.png,,"The skin of a cow, with the tail curved backwards.",matched
167,F29,U+1311D,𓄝,F29,sti F29,F29,"161,12",Q117860014,Cow skin with arrow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F29.png,,"The skin of a cow, with the tail hanging straight down, pierced by an arrow with rounded fletching (T11).",matched
168,F28,U+1311C,𓄜,F28,F28,F28,"161,11",Q117860010,Cow skin (ab hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F28.png,,"The skin of a cow, with the tail hanging straight down.",matched
169,F32,U+13121,𓄡,F32,X F32,F32,"163,10",Q117860023,Belly with teats (kh hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F32.png,,"The udder and tail of an animal, seen from below.",matched
171,F33,U+13122,𓄢,F33,sd F33,F33,,Q117860029,Tail,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F33.png,,The tail of an animal.,matched
172,F39,U+1312A,𓄪,F39,imAx F39,F39,"167,2",Q117860095,Spine and nerve,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F39.png,,"A spine, with the spinal cord hanging out at the backside.",matched
173,F37,U+13126,𓄦,F37,F37,F37,,,,,,"A spine with four ribs, with a downwards curving loop at the end of the spine.",matched
174,F37b,,,,,,,,,,,,unmatched
175,F42,U+1312D,𓄭,F42,spr F42,F42,"168,10",,,,,A rib.,matched
176,F44,U+1312F,𓄯,F44,iwa F44,F44,"168,14",Q4941480,𓄯,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F44.png,,A leg-bone with meat.,matched
177,F51,U+13139,𓄹,F51,F51,F51,"170,3",Q117860163,Meat,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F51.png,,"A piece of flesh, point towards the back, curving downwards.",matched
178,F51,U+13139,𓄹,F51,F51,F51,"170,3",Q117860163,Meat,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F51.png,,"A piece of flesh, point towards the back, curving downwards.",matched
179,F34,U+13123,𓄣,F34,ib F34,,"164,1",Q3010780,heart,http://commons.wikimedia.org/wiki/Special:FilePath/Egyptian%20heart.svg,,A heart without internal detail.,matched
180,F35,U+13124,𓄤,F35,nfr F35,F35,"164,13",Q69889613,Nefer,,,"A windpipe and heart, with a single horizontal stroke at the top.",matched
181,F36,U+13125,𓄥,F36,zmA F36,F36,"165,2",Q18169273,𓄥,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F36.png,,A windpipe and lungs.,matched
182,F45,U+13130,𓄰,F45,F45,F45,,Q117860121,Uterus,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F45.png,,The uterus of a cow.,matched
183,F46/F47/F48/F49,U+13132,𓄲,F46,qAb F46,F46,,,,,,"An intestine, with the opening to the bottom right.",matched
184,G5,U+13143,𓅃,G5,G5,G5,"184,14",Q117859330,Horus-falcon,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G5.png,,A falcon.,matched
185,G144,,,,,,,,,,,,unmatched
186,G6,U+13144,𓅄,G6,G6,G6,"185,3",Q117859433,Falcon with flail,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G6.png,,A falcon (G5) with a flagellum (S45) on its back.,matched
190,G12,U+1314E,𓅎,G12,G12,G12,"193,11",Q117859737,Crouching falcon,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G12.png,,"An archaic image of a falcon/cult image of a falcon, with a flagellum (S45) on its back.",matched
191,G4,U+13142,𓅂,G4,tyw G4,G4,,Q117859031,Buzzard,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G4.png,,A long-legged buzzard (Buteo rufinus).,matched
192,G1,U+1313F,𓄿,G1,A G1,G1,"204,1",Q3555104,𓄿,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G1.png,,An Egyptian vulture (Neophron percnopterus).,matched
193,G14,U+13150,𓅐,G14,mwt G14,G14,"201,9",Q117859744,Vulture (mt hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G14.png,,A griffon vulture (Gyps fulvus).,matched
196,G17,U+13153,𓅓,G17,m G17,G17,"176,10",Q928672,𓅓 owl,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G17.png,,An owl.,matched
197,G37,U+1316A,𓅪,G37,nDs G37,G37,"195,12",Q117859815,Sparrow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G37.png,,A house sparrow (Passer domesticus niloticus).,matched
198,G36,U+13168,𓅨,G36,wr G36,G36,"194,13",Q3136285,𓅨,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G36.png,,A swallow (Hirundo rustica savignii).,matched
199,G22,U+13159,𓅙,,Db G22,,"195,15",,,,,A hoopoe (Upupa epops).,matched
200,G43,U+13171,𓅱,G43,w G43,G43,"171,9",Q3400709,𓅱 quail chick,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G43.png,,A quail chick (Coturnix coturnix).,matched
203,G32,U+13164,𓅤,G32,baHi G32,G32,,Q118221297,Q118221297,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G32.png,,"A gray heron (Ardea cinerea), legs drawn towards the body, seated on a pole, held upright through ropes (R91).",matched
204,G25,U+1315C,𓅜,G25,Ax G25,G25,"182,8",Q117859777,Ibis-crested,http://commons.wikimedia.org/wiki/Special:FilePath/Gardiner%20G25%20Glyph.svg,,A crested ibis (Ibis comata).,matched
205,G28,U+13160,𓅠,G28,gm G28,G28,"179,10",Q117859795,Glossy ibis,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G28.png,,A black ibis (Plegadis falcinellus).,matched
206,G26*,U+1315D,𓅝,G26,G26,G26,"182,16",,,,,"An African sacred ibis (Threskiornis aethiopicus) (G26A), on top of a standard used for carrying religious symbols (R12).",matched
208,G29,U+13161,𓅡,G29,bA G29,G29,"179,11",Q117859801,Stork,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G29.png,,"A saddle-billed stork (Ephippiorhynchus senegalensis), with lappet.",matched
213,G27,U+1315F,𓅟,G27,dSr G27,G27,"179,4",Q117859793,Flamingo (dshr hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G27.png,,A greater flamingo (Phoenicopterus roseus).,matched
214,G51,U+1317B,𓅻,G51,G51,G51,"181,2",,,,,"A cattle egret (Bubulcus ibis), pecking and standing upon a fish with a long broad fin on its back, and two small fins on its belly.",matched
215,G35,U+13167,𓅧,G35,aq G35,G35,"178,13",Q117859811,Cormorant,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G35.png,,A great cormorant (Phalacrocorax carbo).,matched
216,G39,U+1316D,𓅭,G39,zA G39,G39,"173,8",Q117859821,Duck (sa hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G39.png,,A pintail duck (Anas acuta).,matched
217,G37,U+1316A,𓅪,G37,nDs G37,G37,"195,12",Q117859815,Sparrow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G37.png,,A house sparrow (Passer domesticus niloticus).,matched
218,G38?,,,,,,,,,,,,unmatched
219,G42,U+13170,𓅰,G42,wSA G42,G42,"176,9",Q117859841,Fattened duck,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G42.png,,A widgeon (Mareca penelope).,matched
220,G42,U+13170,𓅰,G42,wSA G42,G42,"176,9",Q117859841,Fattened duck,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G42.png,,A widgeon (Mareca penelope).,matched
221,G41,U+1316F,𓅯,G41,xn G41,G41,"174,13",,,,,"A greater white-fronted goose (Anser albifrons), alighting or flying up, with both wings behind the body.",matched
222,G41,U+1316F,𓅯,G41,xn G41,G41,"174,13",,,,,"A greater white-fronted goose (Anser albifrons), alighting or flying up, with both wings behind the body.",matched
224,G47,U+13177,𓅷,G47,TA G47,G47,"198,11",Q117859845,Chick,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G47.png,,"A duckling, with open beak, outstretched wings on either side of the body, and the legs drawn towards the body.",matched
225,G235+X1+Z4,,𓏏+𓏭,,,,,,,,,,compound
226,G49,U+13179,𓅹,,G49,,,,,,,,matched
227,G54,U+1317E,𓅾,G54,snD G54,G54,"196,15",Q117859864,Plucked goose,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G54.png,,"A trussed and plucked goose or duck, with the head backwards below its body.",matched
228,G??,,,,,,,,,,,,unknown
229,G21,U+13158,𓅘,G21,nH G21,G21,"200,4",Q117859761,Guineafowl,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G21.png,,"A saharan helmeted guinea fowl (Numida m. meleagris), with a lappet.",matched
230,G53,U+1317D,𓅽,G53,G53,G53,,Q117859858,Ba-bird with human head,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-G53.png,,"A bowl for incense with smoke rising from the bowl (R7), written in front of the legs of a human headed bird (G53A).",matched
231,H1,U+1317F,𓅿,H1,H1,H1,"207,3",Q117854722,Head of duck,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-H1.png,,The head of a pintail duck (Anas acuta).,matched
232,H2,U+13180,𓆀,H2,wSm H2,H2,,Q117854792,Head of heron,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-H2.png,,The head of a gray heron (Ardea cinerea).,matched
233,H3,U+13181,𓆁,H3,pAq H3,H3,"207,12",Q117857397,Head of spoonbill,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-H3.png,,The head of a spoonbill (Platalea leucorodia).,matched
234,H19,,,,,,,,,,,,unmatched
235,H5,U+13183,𓆃,H5,H5,H5,,Q117857409,Wing,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-H5.png,,The fully extended wing of a bird.,matched
236,H6,U+13184,𓆄,H6,Sw H6,H6,"209,5",Q117857413,Feather,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-H6A.png,,A feather.,matched
237,H6*,U+13184,𓆄,H6,Sw H6,H6,"209,5",,,,,A feather.,matched
238,H8,U+13187,𓆇,H8,H8,H8,"210,8",Q5347800,𓆇 egg,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-H8.png,,An egg.,matched
239,I2,U+13189,𓆉,I2,Styw I2,I2,"211,3",Q117858823,Tortoise,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I2.png,,A freshwater turtle.,matched
240,I1,U+13188,𓆈,I1,aSA I1,I1,"211,1",Q117858810,Lizard,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I1.png,,A lizard or gecko.,matched
241,I3,U+1318A,𓆊,I3,mzH I3,I3,"211,4",Q117858827,Crocodile,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I3.png,,A Nile crocodile (Crocodylus niloticus).,matched
242,I5*,U+1318C,𓆌,I5,sAq I5,I5,"212,8",,,,,"A Nile crocodile (Crocodylus niloticus) with its tail curved forward, below the body.",matched
243,I5,U+1318C,𓆌,I5,sAq I5,I5,"212,8",,,,,"A Nile crocodile (Crocodylus niloticus) with its tail curved forward, below the body.",matched
244,I7/I8,U+1318F,𓆏,I7,I7,I7,"213,14",,,,,A frog or toad.,matched
245,I12,U+13197,𓆗,I12,I12,I12,"220,4",Q2981158,𓆗,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I12.png,,"A cobra (Naja haja), standing up, with expanded hood (Uraeus), with a coiled tail.",matched
247,I14,U+13199,𓆙,I14,I14,I14,"223,8",Q117858869,Snake,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I15.png,,"A snake with a coiled tail, consisting of two coils.",matched
248,I15,U+1319A,𓆚,I15,I15,I15,"223,7",Q117858869,Snake,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I15.png,,"A cobra (Naja haja), standing up, with expanded hood (Uraeus), with a coiled tail, consisting of two coils.",matched
249,I86a,,,,,,,,,,,,unmatched
250,I10,U+13193,𓆓,I10,D I10,I10,"215,10",Q5138959,𓆓,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I10.png,,A cobra in repose (Naja haja).,matched
251,I31c,,,,,,,,,,,,unmatched
252,V21a,,,,,,,,,,,,unmatched
253,K1,U+1319B,𓆛,K1,in K1,K1,"226,1",Q117860238,Tilapia,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-K1.png,,A Nile tilapia (Oreochromis niloticus).,matched
254,K3,U+1319D,𓆝,K3,ad K3,K3,"226,13",Q117860932,mullet,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-K3.png,,A mullet (Mugil cephalus).,matched
255,K18a,,,,,,,,,,,,unmatched
256,K2,U+1319C,𓆜,K2,K2,K2,"226,5",Q117860388,Barbel,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-K2.png,,A fish (Labeobarbus bynni),matched
257,K4,U+1319E,𓆞,K4,XA K4,K4,"227,8",Q117860940,Elephant-snout fish,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-K4.png,,A freshwater elephant fish (Mormyrus kannume).,matched
258,L1,U+131A3,𓆣,L1,xpr L1,L1,"229,1",Q25393855,𓆣,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-L1.png,,"A dung beetle, scarab (scarabaeus sacer).",matched
259,L??,,,,,,,,,,,,unknown
260,L2,U+131A4,𓆤,L2,bit L2,L2,"230,4",Q18205204,𓆤,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-L2.png,,A bee.,matched
261,L5,U+131A8,𓆨,L5,L5,L5,"230,10",Q117861024,Millipede,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-L5.png,,A centipede.,matched
262,"L7, L19",,,,,,,,,,,,unmatched
263,I9,U+13191,𓆑,I9,f I9,I9,"214,12",Q3560535,horned viper,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-I9.png,,A horned desert viper (Cerastes cerastes).,matched
264,L6,U+131A9,𓆩,L6,L6,L6,,Q117861027,Sea shell,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-L6.png,,A bivalve shell.,matched
265,M183,,,,,,,,,,,,unmatched
266,M1,U+131AD,𓆭,M1,iAm M1,M1,"232,1",Q117861042,Tree,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M1.png,,A tree.,matched
267,M43,U+131ED,𓇭,M43,M43,M43,,Q5596998,𓇭,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M43.png,,"A vine with fruits on two forked supports, with the back of the vine descending down, into a basket or vessel.",matched
268,M2,U+131B0,𓆰,M2,Hn M2,M2,"233,8",Q117861048,Plant stalks,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M2.png,,"A herb, with three flowers or leaves, curving upwards, with the middle flower/leaf higher than the other two.",matched
269,M3,U+131B1,𓆱,M3,xt M3,M3,"234,4",Q4956331,𓆱,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M3.png,,"A branch, horizontally written.",matched
270,M4,U+131B3,𓆳,M4,rnp M4,M4,"235,4",Q117861051,Palm panicle,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M4.png,,"A palm branch, stripped of leaves and notched with a round notch.",matched
271,M6,U+131B5,𓆵,M6,tr M6,M6,"235,14",Q118150516,Time,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M6.png,,"A palm branch, stripped of leaves and notched with a round notch (M4), on top of a mouth (D21).",matched
274,M8,U+131B7,𓆷,M8,SA M8,M8,,Q117861064,Pool with lotus,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M8.png,,"A pool with lotus flowers, consisting of 3 flowers and two buds.",matched
275,M9,U+131B8,𓆸,M9,zSn M9,M9,"240,4",Q3260057,𓆸,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M9.png,,"A lotus flower, with the flower facing forward, and the stem facing downward.",matched
276,M10,U+131B9,𓆹,M10,M10,M10,"238,3",Q117861081,Lotus bud,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M10.png,,"A lotus bud, with the bud facing forward, and the stem facing downward.",matched
277,M12,U+131BC,𓆼,M12,M12 1000,M12,"243,4",Q117861093,Lotus plant,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M12.png,,"A leaf, stem and root of a lotus plant.",matched
278,M15,U+131C7,𓇇,M15,M15,M15,"247,14",Q117861103,Papyrus clump,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M15.png,,"A clump of three papyrus flowers, with two buds bent down.",matched
279,M16,U+131C9,𓇉,M16,HA M16,M16,"247,3",Q117861111,Papyrus clump (ha hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M16.png,,A clump of three papyrus flowers.,matched
280,M13,U+131C5,𓇅,M13,wAD M13,M13,"245,6",Q3357891,𓇅,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M13.png,,A stem of papyrus with a bud.,matched
282,M17,U+131CB,𓇋,M17,i M17,M17,"248,7",Q3442445,𓇋,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M17.png,,A flowering reed.,matched
283,M17×2,,,,,,,,,,,,unmatched
284,M18,U+131CD,𓇍,M18,ii M18,M18,"248,14",Q117861117,Reed with legs,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M18.png,,"A flowering reed (M17), on top of legs in a walking posture, feet orientated towards the reading direction (D54).",matched
285,M20,U+131CF,𓇏,M20,sxt M20,M20,"249,11",Q117861138,Reeds in swamp,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M20.png,,A field of reeds with three flowering reeds and three stumps.,matched
286,M19,U+131CE,𓇎,M19,M19,M19,"249,5",Q117861130,Reed and club,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M19.png,,"A flowering reed (M17) and a club used by washer-men for beating laundry as part of the cleaning process (U36), connected by a network consisting of four horizontal lines and three lines going from bottom corner to top corner.",matched
287,M22,U+131D1,𓇑,M22,M22,M22,"250,4",,,,,A rush with two shoots.,matched
288,M22×2,,,,,,,,,,,,unmatched
289,M23,U+131D3,𓇓,M23,sw M23,M23,"250,10",Q117861143,"Rush, sedge (sw hieroglyph)",http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M23.png,,A sedge.,matched
290,M24,U+131D4,𓇔,M24,rsw M24,M24,"251,4",,,,,"A sedge (M23), written on top of a mouth (D21).",matched
291,M26,U+131D7,𓇗,M26,Sma M26,M26,"252,3",,,,,"A desert plant, with four branches, with flowers on every branch, on a horizontal base.",matched
293,M34,U+131E3,𓇣,M34,bdt M34,M34,"255,1",,,,,An ear of corn.,matched
294,M36,U+131E5,𓇥,M36,Dr M36,M36,"256,8",Q117861204,Bale of flax,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M37.png,,"A bundle of flax stems, bound together with string, loop and tie at the back, with the bolls visible on the top, squared at the bottom.",matched
295,M33,U+131E0,𓇠,M33,M33,M33,,Q117861185,Grains of corn,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M33.png,,"Three grains of corn, arranged horizontally.",matched
296,M29,U+131DB,𓇛,M29,nDm M29,M29,"253,1",Q18205416,Pod with seeds,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M29.png,,A pod of a carob (Ceratonia siliqua) tree.,matched
297,M30,U+131DC,𓇜,M30,bnr M30,M30,"253,6",Q117861168,Sweet root,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M30.png,,A root.,matched
298,M32/M31,U+131DF,𓇟,M32,M32,M32,,,,,,"A rhizome of a lotus, with two shoots at the bottom.",matched
299,M44,U+131EE,𓇮,M44,M44,M44,"259,7",Q117861234,Thorn,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-M44.png,,A thorn.,matched
300,N1,U+131EF,𓇯,N1,pt N1,N1,"261,1",Q2972322,𓇯,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N1.png,,The sky.,matched
301,N2,U+131F0,𓇰,N2,N2,N2,,,,,,The sky with a sceptre with a forked end hanging from it.,matched
302,N4,U+131F2,𓇲,N4,idt N4,N4,"262,3",,,,,"The sky, with lines of moisture coming from it.",matched
303,N5,U+131F3,𓇳,N5,zw N5,N5,"262,6",Q3489299,𓇳,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N5.png,,"The sun, within a halo.",matched
304,N6,U+131F4,𓇴,N6,N6,N6,"263,2",Q117861251,Sun with Uraeus,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N6.png,,"The sun within a halo, encircled by a cobra (Naja haja), standing up, with expanded hood (Uraeus).",matched
305,N55,,,,,,,,,,,,unmatched
306,N8,U+131F6,𓇶,,Hnmmt N8,,,Q7638130,𓇶,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N8.png,,"The sun, with thee beams of sunlight coming from it.",matched
307,N28,U+1320D,𓈍,N28,xa N28,N28,"274,12",Q7638128,𓈍,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N28.png,,A hill with a halo of sun rays behind it.,matched
308,N12/N11,U+131FA,𓇺,N12,N12,N12,"266,8",,,,, A crescent moon with a part of the moon disc.,matched
309,N12/N11,U+131FA,𓇺,N12,N12,N12,"266,8",,,,, A crescent moon with a part of the moon disc.,matched
314,N14,U+131FC,𓇼,N14,sbA N14,N14,"268,1",Q117861304,Star,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N14.png,,A star.,matched
316,N13=N63+N14,,𓇻+𓇼,,,,,,,,,,unmatched
317,N16/N17,U+131FE,𓇾,N16,tA N16,N16,,,,,,"A strip of land, with three grains of sand written beneath it.",matched
319,N29,U+1320E,𓈎,N29,q N29,N29,"275,8",Q117861411,Hill slope (q hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N29.png,, A sandy hill slope.,matched
320,N26,U+1320B,𓈋,N26,Dw N26,N26,"273,4",Q117861396,Mountains,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N26.png,,A sand covered mountain over the edge of the cultivated areas.,matched
321,N27,U+1320C,𓈌,N27,Axt N27,N27,"274,4",Q552228,𓈌,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N27.png,,The sun rising over a sand covered mountain over the edge of the cultivated areas.,matched
322,N25,U+13209,𓈉,N25,xAst N25,N25,"272,8",Q17004574,𓈉,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N25.png,,The hill country over the edge of the cultivated areas.,matched
323,N21,U+13205,𓈅,N21,N21,N21,"269,15",,,,,A tongue of land.,matched
324,N23,U+13207,𓈇,N23,N23,N23,"270,15",Q117861374,Irrigation canals,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N23.png,,An irrigation canal.,matched
325,N24,U+13208,𓈈,N24,spAt N24,N24,"271,5",Q18207055,𓈈,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N24.png,,A parcel of land with irrigation ditches.,matched
326,N31,U+13210,𓈐,N31,N31,N31,"276,6",Q7339267,𓈐,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-N31.png,,"A road with two shrubs at the top, and one at the bottom.",matched
327,Aa13,,,,,,,Q7204993,𓐝,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Aa15.png,,,unmatched
328,Aa16,,,,,,,Q117874638,Side symbol (gs hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-Aa16.png,,,unmatched
